1,Do a visual check to make sure there are no observable assembly problem. refer to Schematic 0378290-000_AC.pdf and incorporated Wirelist if needed.,PASS/FAIL,option
1.1,The AC PDU show have already been check the wiring continuity. Complte this check of no alerady done.Refer to Schematic 0378290-000_AC.pdf and incorporated Wirelist if needed.,PASS/FAIL,option
1.2,Attach the Power Cord from AC PDU rear panel position J1 to an appropriate receptacle. The voltage source must be 208Vac 3-Phase W/Neutral and Ground(5-wire wye configuration).,208 Vac.,int
2.1,Measure  TB1‐1A to TB1‐4A (expecting infinity OL).,Ohm,input_text
2.2,Measure TB1‐7A to TB1‐10A (expecting infinity OL).,Ohm,input_text
2.3,Measure TB2‐1A to  PS1 (+). (expecting infinity OL).,Ohm,input_text
3.1,Measure  TB1‐1A to TB1‐4A (expecting infinity OL).,Ohm,input_text
3.2,Measure TB1‐7A to TB1‐10A (expecting infinity OL).,Ohm,input_text
3.3,Measure TB2‐1A to  PS1 (+). (expecting infinity OL).,Ohm,input_text
7.1,CB1:OFF. Visual check the power ON light on the fron panel status.,OFF,option
7.2,CB1:OFF. Visual check the Green LED on PS1 power suppy status.,OFF,option
7.3,CB1:ON. Visual check the power ON light on the fron panel status.,OFF,option
7.4,CB1:ON. Visual check the Green LED on PS1 power suppy status.,ON,option
8.1,SYSTEM STATUS,ON
8.2,Visual check EMO RELAY LED.,ON GREEN,option
8.3,Visual check K1 Relay LED.,ON GREEN,option
8.4,Visual check LOCAL LED.,ON GREEN,option
8.5,Visual check POWER ON LED.,ON GREEN,option
9.1,SYSTEM STATUS,OFF,option
9.2,Visual check EMO RELAY LED.,OFF,option
9.3,Visual check K1 Relay LED.,OFF,option
9.4,Visual check LOCAL LED.,OFF,option
9.5,Visual check POWER ON LED.,OFF,option
10.1,SYSTEM STATUS,ON
10.2,Visual check Power On light LED.,ON GREEN,option
10.3,Visual check The front panel “Local” LED,ON GREEN,option
11.1,SYSTEM STATUS,OFF,option
11.2,Visual check Power On light LED.,OFF,option
11.3,Visual check The front panel “Local” LED,OFF,option
