ID,SERIAL NUMBER,MODEL NUMBER,WORK ORDER,FAIL CODE,DESCRIPTION,ROOT COUSE,SOLUTION,PROCESS TYPE,UNIT LOCATION,DEBUG BY,CREATE DATE,RESULT,CURRENT STATUS,CREATE BY,temp_running,temp_sn_1st_RMA,temp_Unit_type_RMA,temp_sn_by_source,month,year,h_month,temp_ww,temp_ww_num,TARGET_YIELD,PASS,FAIL
99,93024225057,0696003-000,18997400,,,,,SF1,WIP,,6/1/2024 8:25,PASS,WIP,288422,,,CRG,93024225057-SF1-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
100,93024225007,0825602-001,19067023,,,,,SF1,WIP,,6/1/2024 13:36,PASS,WIP,288422,,,CRG,93024225007-SF1-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
101,93024225007,0825602-001,19067023,,,,,SF2,WIP,,6/1/2024 13:37,PASS,WIP,288422,,,CRG,93024225007-SF2-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
102,93024225011,0825602-001,19067023,,,,,SF1,WIP,,6/1/2024 14:00,PASS,WIP,288422,,,CRG,93024225011-SF1-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
103,93024225011,0825602-001,19067023,,,,,SF2,WIP,,6/1/2024 14:00,PASS,WIP,288422,,,CRG,93024225011-SF2-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
105,93024225008,0825602-001,19067023,,,,,SF2,WIP,,6/1/2024 14:33,PASS,WIP,288422,,,CRG,93024225008-SF2-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
106,93024225006,0825602-001,19067023,,,,,SF1,WIP,,6/1/2024 15:01,PASS,WIP,288422,,,CRG,93024225006-SF1-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
107,93024225006,0825602-001,19067023,,,,,SF2,WIP,,6/1/2024 15:03,PASS,WIP,288422,,,CRG,93024225006-SF2-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
108,93024225010,0825602-001,19067023,,,,,SF1,WIP,,6/1/2024 15:55,PASS,WIP,288422,,,CRG,93024225010-SF1-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
109,93024225010,0825602-001,19067023,,,,,SF2,WIP,,6/1/2024 15:55,PASS,WIP,288422,,,CRG,93024225010-SF2-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
110,93024225009,0825602-001,19067023,,,,,SF1,WIP,,6/1/2024 17:23,PASS,WIP,288422,,,CRG,93024225009-SF1-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
111,93024225009,0825602-001,19067023,,,,,SF2,WIP,,6/1/2024 17:24,PASS,WIP,288422,,,CRG,93024225009-SF2-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
112,93024225011,0825602-001,19067023,,,,,SF3,WIP,,6/1/2024 17:27,PASS,WIP,288422,,,CRG,93024225011-SF3-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
113,93024225007,0825602-001,19067023,,,,,SF3,WIP,,6/1/2024 17:49,PASS,WIP,288422,,,CRG,93024225007-SF3-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
114,93024225008,0825602-001,19067023,,,,,SF3,WIP,,6/1/2024 18:12,PASS,WIP,288422,,,CRG,93024225008-SF3-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
115,93024225006,0825602-001,19067023,,,,,SF3,WIP,,6/1/2024 18:44,PASS,WIP,288422,,,CRG,93024225006-SF3-CRG-PASS,Jun,2024,Jun-2024,WW34,34,0.975,1,0
116,93024225009,0825602-001,19067023,,,,,SF3,WIP,,6/3/2024 7:51,PASS,WIP,288422,,,CRG,93024225009-SF3-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
117,93024225010,0825602-001,19067023,,,,,SF3,WIP,,6/3/2024 8:17,PASS,WIP,288422,,,CRG,93024225010-SF3-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
118,93024225063,0696003-000,18997400,,,,,SF1,WIP,,6/3/2024 9:27,PASS,WIP,288422,,,CRG,93024225063-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
119,93024225061,0696003-000,18997400,,,,,SF1,WIP,,6/3/2024 10:05,PASS,WIP,288422,,,CRG,93024225061-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
120,93024225062,0696003-000,18997400,,,,,SF1,WIP,,6/3/2024 10:40,PASS,WIP,288422,,,CRG,93024225062-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
121,93024225065,0696003-000,18997400,,,,,SF1,WIP,,6/3/2024 11:18,PASS,WIP,288422,,,CRG,93024225065-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
