ID,year,CREATE DATE,ww_NUM,temp_ww,temp_Unit_type_RMA,PROCESS TYPE,RESULT,FAIL CODE,DESCRIPTION,MODEL NUMBER,SERIAL NUMBER,TARGET_YIELD,PASS_YIELD,FAIL,PASS
99,2024,6/1/2024 8:25,34,WW34,CRG,SF1,PASS,,,0696003-000,93024225057,0.975,1,0,1
100,2024,6/1/2024 13:36,34,WW34,CRG,SF1,PASS,,,0825602-001,93024225007,0.975,1,0,1
101,2024,6/1/2024 13:37,34,WW34,CRG,SF2,PASS,,,0825602-001,93024225007,0.975,1,0,1
102,2024,6/1/2024 14:00,34,WW34,CRG,SF1,PASS,,,0825602-001,93024225011,0.975,1,0,1
103,2024,6/1/2024 14:00,34,WW34,CRG,SF2,PASS,,,0825602-001,93024225011,0.975,1,0,1
105,2024,6/1/2024 14:33,34,WW34,CRG,SF2,PASS,,,0825602-001,93024225008,0.975,1,0,1
106,2024,6/1/2024 15:01,34,WW34,CRG,SF1,PASS,,,0825602-001,93024225006,0.975,1,0,1
107,2024,6/1/2024 15:03,34,WW34,CRG,SF2,PASS,,,0825602-001,93024225006,0.975,1,0,1
108,2024,6/1/2024 15:55,34,WW34,CRG,SF1,PASS,,,0825602-001,93024225010,0.975,1,0,1
109,2024,6/1/2024 15:55,34,WW34,CRG,SF2,PASS,,,0825602-001,93024225010,0.975,1,0,1
110,2024,6/1/2024 17:23,34,WW34,CRG,SF1,PASS,,,0825602-001,93024225009,0.975,1,0,1
111,2024,6/1/2024 17:24,34,WW34,CRG,SF2,PASS,,,0825602-001,93024225009,0.975,1,0,1
112,2024,6/1/2024 17:27,34,WW34,CRG,SF3,PASS,,,0825602-001,93024225011,0.975,1,0,1
113,2024,6/1/2024 17:49,34,WW34,CRG,SF3,PASS,,,0825602-001,93024225007,0.975,1,0,1
114,2024,6/1/2024 18:12,34,WW34,CRG,SF3,PASS,,,0825602-001,93024225008,0.975,1,0,1
115,2024,6/1/2024 18:44,34,WW34,CRG,SF3,PASS,,,0825602-001,93024225006,0.975,1,0,1
116,2024,6/3/2024 7:51,35,WW35,CRG,SF3,PASS,,,0825602-001,93024225009,0.975,1,0,1
117,2024,6/3/2024 8:17,35,WW35,CRG,SF3,PASS,,,0825602-001,93024225010,0.975,1,0,1
118,2024,6/3/2024 9:27,35,WW35,CRG,SF1,PASS,,,0696003-000,93024225063,0.975,1,0,1
119,2024,6/3/2024 10:05,35,WW35,CRG,SF1,PASS,,,0696003-000,93024225061,0.975,1,0,1
120,2024,6/3/2024 10:40,35,WW35,CRG,SF1,PASS,,,0696003-000,93024225062,0.975,1,0,1
121,2024,6/3/2024 11:18,35,WW35,CRG,SF1,PASS,,,0696003-000,93024225065,0.975,1,0,1
122,2024,6/3/2024 13:44,35,WW35,CRG,SF1,PASS,,,0825602-001,93024225012,0.975,1,0,1
123,2024,6/3/2024 13:49,35,WW35,CRG,SF2,FAIL,cable,led no light 0117772-000,0825602-001,93024225012,0.975,0,1,0
124,2024,6/3/2024 14:28,35,WW35,CRG,SF2,PASS,,,0825602-001,93024225012,0.975,1,0,1
125,2024,6/3/2024 14:56,35,WW35,CRG,SF1,PASS,,,0825602-001,93024225015,0.975,1,0,1
126,2024,6/3/2024 14:57,35,WW35,CRG,SF2,PASS,,,0825602-001,93024225015,0.975,1,0,1
127,2024,6/3/2024 15:32,35,WW35,CRG,SF1,PASS,,,0825602-001,93024225013,0.975,1,0,1
128,2024,6/3/2024 15:33,35,WW35,CRG,SF2,PASS,,,0825602-001,93024225013,0.975,1,0,1
129,2024,6/3/2024 15:47,35,WW35,CRG,SF1,PASS,,,0825602-001,93024225014,0.975,1,0,1
130,2024,6/3/2024 15:49,35,WW35,CRG,SF2,PASS,,,0825602-001,93024225014,0.975,1,0,1
131,2024,6/3/2024 18:08,35,WW35,CRG,SF3,PASS,,,0825602-001,93024225015,0.975,1,0,1
132,2024,6/3/2024 18:30,35,WW35,CRG,SF3,PASS,,,0825602-001,93024225012,0.975,1,0,1
133,2024,6/3/2024 18:50,35,WW35,CRG,SF3,PASS,,,0825602-001,93024225014,0.975,1,0,1
134,2024,6/4/2024 8:48,35,WW35,CRG,SF3,PASS,,,0825602-001,93024225013,0.975,1,0,1
135,2024,6/4/2024 9:27,35,WW35,CRG,SF1,PASS,,,0696003-000,93024225066,0.975,1,0,1
136,2024,6/4/2024 10:34,35,WW35,CRG,SF1,PASS,,,0696003-000,93024225064,0.975,1,0,1
137,2024,6/4/2024 13:05,35,WW35,CRG,SF1,PASS,,,0855143-000,93024225075,0.975,1,0,1
138,2024,6/5/2024 9:14,35,WW35,RMA,DV2,PASS,,,0318410-003,93015455165,0.975,1,0,1
139,2024,6/5/2024 10:12,35,WW35,RMA,DV2,PASS,,,0825602-001,93022515149,0.975,1,0,1
140,2024,6/5/2024 15:10,35,WW35,CRG,SF1,PASS,,,0855143-000,93024225077,0.975,1,0,1
141,2024,6/5/2024 15:58,35,WW35,CRG,SF1,FAIL,PLC_CPU,cannot control plc,0855143-000,93024225076,0.975,0,1,0
142,2024,6/5/2024 18:03,35,WW35,CRG,SF1,PASS,,,0855143-000,93024225078,0.975,1,0,1
143,2024,6/5/2024 18:22,35,WW35,CRG,SF1,PASS,,,0696003-000,93024225068,0.975,1,0,1
144,2024,6/5/2024 18:43,35,WW35,CRG,SF1,PASS,,,0696003-000,93024225067,0.975,1,0,1
145,2024,6/6/2024 13:34,35,WW35,CRG,SF1,PASS,,,0855143-000,93024225079,0.975,1,0,1
146,2024,6/6/2024 15:14,35,WW35,CRG,SF1,PASS,,,0855143-000,93024225076,0.975,1,0,1
147,2024,6/6/2024 15:18,35,WW35,CRG,SF1,PASS,,,0855143-000,93024225076,0.975,1,0,1
148,2024,6/6/2024 17:38,35,WW35,CRG,SF1,PASS,,,0696003-000,93024225069,0.975,1,0,1
149,2024,6/6/2024 18:53,35,WW35,CRG,SF1,PASS,,,0855143-000,93024225080,0.975,1,0,1
150,2024,6/7/2024 10:21,35,WW35,CRG,SF1,PASS,,,0855143-000,93024225081,0.975,1,0,1
151,2024,6/7/2024 10:57,35,WW35,CRG,SF1,PASS,,,0696003-000,93024225070,0.975,1,0,1
152,2024,6/7/2024 17:34,35,WW35,CRG,SF1,PASS,,,0696003-000,93024225071,0.975,1,0,1
153,2024,6/7/2024 18:05,35,WW35,RMA,DV2,PASS,,,0849263-001,93023495029,0.975,1,0,1
154,2024,6/8/2024 8:24,35,WW35,CRG,SF1,PASS,,,0696003-000,93023485010,0.975,1,0,1
155,2024,6/8/2024 9:30,35,WW35,CRG,SF1,PASS,,,0855143-000,93024225082,0.975,1,0,1
156,2024,6/8/2024 10:28,35,WW35,CRG,SF1,PASS,,,0696003-000,93024225072,0.975,1,0,1
157,2024,6/8/2024 13:39,35,WW35,CRG,SF1,PASS,,,0855143-000,93024225084,0.975,1,0,1
158,2024,6/8/2024 14:11,35,WW35,CRG,SF1,PASS,,,0849263-001,93024225109,0.975,1,0,1
